"Owner Role","Opportunity Owner","Account Name","Opportunity Name","Stage","Fiscal Period","Amount","Expected Revenue","Probability (%)","Age","Close Date","Created Date","Next Step","Lead Source","Type"
"CEO","Lars Malmqvist","","Opportunity165","Closed Won","Q3-2023","5052.54","5052.54","100","21.0000000000","18/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity166","Closed Won","Q3-2023","5776.97","5776.97","100","19.0000000000","16/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity167","Closed Won","Q3-2023","5941.60","5941.60","100","35.0000000000","01/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity168","Closed Won","Q3-2023","5496.61","5496.61","100","35.0000000000","01/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity169","Closed Lost","Q3-2023","6823.48","0.00","0","26.0000000000","23/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity170","Closed Won","Q3-2023","5239.40","5239.40","100","17.0000000000","14/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity171","Closed Won","Q3-2023","9692.17","9692.17","100","24.0000000000","21/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity172","Closed Won","Q3-2023","5073.94","5073.94","100","34.0000000000","31/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity173","Closed Lost","Q3-2023","6981.04","0.00","0","42.0000000000","08/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity174","Closed Lost","Q3-2023","9009.40","0.00","0","30.0000000000","27/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity175","Closed Won","Q3-2023","6197.01","6197.01","100","17.0000000000","14/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity176","Closed Lost","Q3-2023","7153.67","0.00","0","35.0000000000","01/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity177","Closed Lost","Q3-2023","7581.88","0.00","0","54.0000000000","20/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity178","Closed Lost","Q3-2023","5984.84","0.00","0","52.0000000000","18/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity179","Closed Won","Q3-2023","7838.26","7838.26","100","35.0000000000","01/08/2023","27/06/2023","","",""
